,Unnamed: 0,Rank,Name,City,State,Public/Private,Undergraduate Population,Student Population,Net Price,Average Grant Aid,Total Annual Cost,Alumni Salary,Acceptance Rate,SAT Lower,SAT Upper,ACT Lower,ACT Upper,Website,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,Region,aboutLocation
28,28,65.0,Georgia Institute of Technology,Atlanta,GA,Public,17223.0,29376.0,13291.0,12779.0,49366.0,133400.0,23.0,1090.0,1520.0,30.0,34.0,www.gatech.edu,Engineering,"$58,300.00","$106,000.00","$67,200.00","$85,200.00","$137,000.00","$183,000.00",Southern,https://wikitravel.org/en/Atlanta
29,29,73.0,Bucknell University,Lewisburg,PA,Private,3678.0,3740.0,40976.0,29783.0,70125.0,122900.0,31.0,1250.0,1420.0,28.0,31.0,www.bucknell.edu,Liberal Arts,"$54,100.00","$110,000.00","$62,800.00","$80,600.00","$156,000.00","$251,000.00",Northeastern,https://wikitravel.org/en/Lewisburg_(Pennsylvania)
30,30,75.0,Colby College,Waterville,ME,Private,1917.0,2032.0,20739.0,45463.0,68582.0,103300.0,16.0,1340.0,1500.0,31.0,33.0,www.colby.edu,Liberal Arts,"$46,400.00","$85,800.00",,"$63,500.00","$129,000.00",,Northeastern,https://wikitravel.org/en/Waterville_(Maine)
31,31,77.0,College of the Holy Cross,Worcester,MA,Private,2806.0,2855.0,34159.0,36963.0,66220.0,114600.0,40.0,,,,,www.holycross.edu,Liberal Arts,"$50,200.00","$106,000.00",,"$65,600.00","$143,000.00",,Northeastern,https://wikitravel.org/en/Worcester_(Massachusetts)
32,32,80.0,Grinnell College,Grinnell,IA,Private,1712.0,1765.0,22844.0,33946.0,66214.0,96500.0,29.0,1310.0,1510.0,30.0,34.0,www.grinnell.edu,Liberal Arts,"$42,600.00","$76,600.00",,"$65,100.00","$116,000.00",,Midwestern,https://wikitravel.org/en/Grinnell
33,33,81.0,Smith College,Northampton,MA,Private,2594.0,2918.0,24829.0,39913.0,69563.0,98200.0,32.0,,,,,www.smith.edu,Liberal Arts,"$44,000.00","$83,900.00","$45,100.00","$59,800.00","$129,000.00","$184,000.00",Northeastern,https://wikitravel.org/en/Northampton_(Massachusetts)
34,34,83.0,University of Richmond,Richmond,VA,Private,3815.0,4023.0,26264.0,38394.0,64890.0,107500.0,33.0,1270.0,1460.0,29.0,32.0,www.richmond.edu,Liberal Arts,"$48,600.00","$94,600.00","$44,500.00","$59,400.00","$151,000.00","$211,000.00",Southern,https://wikitravel.org/en/Richmond
35,35,85.0,Oberlin College,Oberlin,OH,Private,2853.0,3030.0,31331.0,28876.0,71330.0,96800.0,34.0,1280.0,1450.0,28.0,33.0,www.oberlin.edu,Liberal Arts,"$43,400.00","$81,600.00",,"$46,400.00","$128,000.00",,Midwestern,https://wikitravel.org/en/Oberlin
36,36,88.0,"University of California, Davis",Davis,CA,Public,31437.0,37380.0,15737.0,18690.0,63743.0,112600.0,43.0,1130.0,1360.0,25.0,32.0,www.ucdavis.edu,State,"$52,300.00","$99,600.00","$52,000.00","$71,600.00","$135,000.00","$202,000.00",California,https://wikitravel.org/en/Davis_(California)
37,37,89.0,Whitman College,Walla Walla,WA,Private,1510.0,1574.0,43488.0,23828.0,64504.0,102600.0,52.0,1140.0,1380.0,28.0,32.0,www.whitman.edu,Liberal Arts,"$43,500.00","$80,100.00",,"$64,800.00","$111,000.00",,Western,https://wikitravel.org/en/Walla_Walla
38,38,94.0,Colorado School of Mines,Golden,CO,Public,4811.0,6209.0,25710.0,10725.0,52698.0,139600.0,56.0,1310.0,1450.0,28.0,32.0,www.mines.edu,Engineering,"$58,100.00","$106,000.00","$62,200.00","$87,900.00","$142,000.00","$201,000.00",Western,https://wikitravel.org/en/Golden_(Colorado)
