,Unnamed: 0,Rank,Name,City,State,Public/Private,Undergraduate Population,Student Population,Net Price,Average Grant Aid,Total Annual Cost,Alumni Salary,Acceptance Rate,SAT Lower,SAT Upper,ACT Lower,ACT Upper,Website,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,Region,aboutLocation
58,58,201.0,University of South Carolina,Columbia,SC,Public,26791.0,34731.0,19519.0,5792.0,47162.0,89900.0,72.0,1170.0,1330.0,25.0,30.0,www.sc.edu,State,"$40,000.00","$71,700.00","$36,300.00","$49,900.00","$98,400.00","$131,000.00",Southern,https://wikitravel.org/en/Columbia_(South_Carolina)
59,59,211.0,Iowa State University,Ames,IA,Public,32814.0,36158.0,14331.0,7882.0,34442.0,101300.0,89.0,1160.0,1410.0,22.0,28.0,www.iastate.edu,State,"$45,400.00","$84,600.00","$44,400.00","$60,000.00","$109,000.00","$147,000.00",Midwestern,https://wikitravel.org/en/Ames
60,60,214.0,Gustavus Adolphus College,St. Peter,MN,Private,2181.0,2263.0,20050.0,24333.0,55800.0,96800.0,68.0,,,,,gustavus.edu,Liberal Arts,"$44,500.00","$80,600.00",,"$49,300.00","$101,000.00",,Midwestern,https://wikitravel.org/en/Mankato
61,61,218.0,University of Arizona,Tucson,AZ,Public,36862.0,43751.0,14744.0,11272.0,51707.0,101000.0,84.0,,,,,www.arizona.edu,State,"$47,500.00","$86,100.00","$44,800.00","$61,700.00","$117,000.00","$160,000.00",Western,https://wikitravel.org/en/Tucson
62,62,258.0,Western Washington University,Bellingham,WA,Public,15915.0,16246.0,16220.0,6500.0,38067.0,99300.0,85.0,1080.0,1280.0,22.0,28.0,www.wwu.edu,State,"$42,700.00","$75,400.00","$41,300.00","$56,700.00","$99,200.00","$119,000.00",Western,https://wikitravel.org/en/Bellingham_(Washington)
63,63,260.0,University of Kansas,Lawrence,KS,Public,20894.0,27625.0,18814.0,9205.0,41074.0,98600.0,93.0,,,23.0,28.0,www.ku.edu,State,"$42,400.00","$81,600.00","$44,800.00","$57,200.00","$115,000.00","$156,000.00",Midwestern,https://wikitravel.org/en/Lawrence_(Kansas)
64,64,269.0,Juniata College,Huntingdon,PA,Private,1495.0,1638.0,24795.0,29639.0,58165.0,93100.0,71.0,,,,,www.juniata.edu,Liberal Arts,"$41,800.00","$78,900.00",,"$67,200.00","$110,000.00",,Northeastern,https://wikitravel.org/en/Huntingdon_Valley
65,65,271.0,University of Arkansas,Fayetteville,AR,Public,24344.0,27558.0,16069.0,6629.0,40162.0,98000.0,66.0,1110.0,1280.0,23.0,29.0,www.uark.edu,State,"$44,100.00","$82,800.00","$43,200.00","$60,700.00","$113,000.00","$160,000.00",Southern,https://wikitravel.org/en/Fayetteville_(Arkansas)
66,66,285.0,Siena College,Loudonville,NY,Private,3226.0,3288.0,27588.0,24332.0,53855.0,101500.0,78.0,,,,,www.siena.edu/pages/1.asp,Liberal Arts,"$45,500.00","$85,200.00","$38,700.00","$58,400.00","$129,000.00","$189,000.00",Northeastern,https://wikitravel.org/en/Albany_(New_York)
67,67,296.0,Ursinus College,Collegeville,PA,Private,1507.0,1576.0,29219.0,32962.0,66242.0,101800.0,78.0,1110.0,1310.0,24.0,30.0,www.ursinus.edu,Liberal Arts,"$42,100.00","$80,000.00","$35,600.00","$54,300.00","$100,000.00","$160,000.00",Northeastern,https://wikitravel.org/en/Collegeville
68,68,305.0,Appalachian State University,Boone,NC,Public,17811.0,18811.0,13691.0,8312.0,33819.0,82700.0,70.0,1100.0,1270.0,23.0,27.0,www.appstate.edu,State,"$40,400.00","$69,100.00","$37,200.00","$50,400.00","$90,800.00","$115,000.00",Southern,https://wikitravel.org/en/Boone
69,69,340.0,Illinois State University,Normal,IL,Public,20115.0,20784.0,21345.0,9124.0,40036.0,95000.0,89.0,,,21.0,26.0,www.illinoisstate.edu,State,"$42,000.00","$73,400.00","$39,100.00","$55,200.00","$105,000.00","$142,000.00",Midwestern,https://wikitravel.org/en/Bloomington-Normal
70,70,355.0,Wentworth Institute of Technology,Boston,MA,Private,4457.0,4543.0,36690.0,13455.0,54071.0,112700.0,92.0,1080.0,1270.0,22.0,28.0,wit.edu,Engineering,"$53,000.00","$96,700.00","$55,200.00","$74,000.00","$117,000.00","$153,000.00",Northeastern,https://wikitravel.org/en/Boston
71,71,358.0,Oklahoma State University,Stillwater,OK,Public,23241.0,25295.0,14824.0,9874.0,38686.0,98600.0,74.0,1070.0,1260.0,22.0,28.0,okstate.edu,State,"$42,800.00","$80,700.00","$40,100.00","$56,500.00","$114,000.00","$151,000.00",Southern,https://wikitravel.org/en/Stillwater_(Oklahoma)
72,72,399.0,University of North Dakota,Grand Forks,ND,Public,13957.0,14406.0,15056.0,4640.0,33017.0,96000.0,83.0,1050.0,1270.0,21.0,26.0,und.edu,State,"$44,000.00","$80,600.00","$43,400.00","$56,400.00","$111,000.00","$157,000.00",Midwestern,https://wikitravel.org/en/Grand_Forks
73,73,401.0,University of Mississippi,University,MS,Public,20940.0,23136.0,13929.0,9642.0,40086.0,89100.0,84.0,1070.0,1290.0,22.0,29.0,www.olemiss.edu,Party,"$41,400.00","$79,700.00","$40,400.00","$53,500.00","$108,000.00","$186,000.00",Southern,https://wikitravel.org/en/University_City_(Missouri)
75,75,435.0,University of Idaho,Moscow,ID,Public,11344.0,12072.0,14354.0,6993.0,37624.0,97700.0,73.0,1010.0,1230.0,20.0,26.0,www.uidaho.edu,State,"$44,900.00","$82,000.00","$43,000.00","$56,700.00","$104,000.00","$142,000.00",Western,https://wikitravel.org/en/Moscow_(Idaho)
76,76,438.0,Ohio University,Athens,OH,Public,26467.0,29369.0,20853.0,6291.0,36706.0,93300.0,74.0,1080.0,1260.0,22.0,26.0,www.ohio.edu,Party,"$42,200.00","$73,400.00","$36,600.00","$52,800.00","$106,000.00","$150,000.00",Midwestern,https://wikitravel.org/en/Athens_(Ohio)
78,78,440.0,Moravian College,Bethlehem,PA,Private,2195.0,2446.0,26838.0,25900.0,57868.0,95300.0,76.0,1010.0,1210.0,21.0,27.0,www.moravian.edu,Liberal Arts,"$42,500.00","$74,400.00",,"$56,700.00","$94,900.00",,Northeastern,https://wikitravel.org/en/Bethlehem_(Pennsylvania)
79,79,445.0,Utah State University,Logan,UT,Public,27679.0,29784.0,13279.0,8145.0,33264.0,93900.0,89.0,1000.0,1220.0,21.0,27.0,www.usu.edu,State,"$43,800.00","$78,700.00","$41,600.00","$55,400.00","$101,000.00","$132,000.00",Western,https://wikitravel.org/en/Logan_(Utah)
80,80,470.0,Wittenberg University,Springfield,OH,Private,1884.0,2053.0,24263.0,26135.0,52056.0,105400.0,72.0,,,,,www.wittenberg.edu,Liberal Arts,"$39,200.00","$78,200.00",,"$54,100.00","$131,000.00",,Midwestern,https://wikitravel.org/en/Springfield_(Ohio)
